age,height,plays,bh
23,191,r,2
27,198,r,2
21,183,r,2
27,196,r,2
29,198,r,2
26,183,r,2
37,188,r,2
27,188,r,2
26,183,r,2
33,191,r,1
26,193,r,1
27,185,r,2
21,188,r,2
26,188,l,2
23,193,l,2
28,196,r,2
23,185,r,1
27,188,r,2
28,198,r,2
20,185,r,
22,193,l,
24,196,r,2
27,188,l,2
25,196,r,2
24,183,r,2
30,183,r,2
24,170,r,2
23,185,r,
24,193,r,2
26,185,r,2
21,203,r,
22,183,r,2
27,196,r,2
29,196,r,2
29,201,r,2
28,185,r,2
24,185,r,
23,188,r,2
25,196,r,2
28,188,r,2
20,193,r,
34,193,r,2
27,185,r,2
,183,r,2
28,193,r,2
31,180,r,2
24,178,r,
19,193,r,
29,188,l,2
20,180,l,
37,183,r,2
34,180,r,2
29,191,r,2
25,183,r,2
38,193,r,2
25,185,l,1
32,183,r,2
25,193,r,2
29,196,r,2
27,185,r,2
25,183,r,2
27,183,r,2
22,183,r,2
30,183,r,
23,185,r,
36,180,l,2
28,183,r,2
29,188,r,2
29,170,l,2
25,180,l,2
25,185,r,2
28,191,r,2
24,178,r,2
25,185,r,2
28,183,r,2
24,173,l,2
29,193,r,2
24,185,r,2
24,183,l,2
29,191,r,2
34,183,r,1
33,183,r,2
32,175,r,2
32,191,r,2
24,178,r,2
26,191,r,2
23,203,r,
28,191,r,2
26,188,r,1
28,188,r,2
37,178,r,2
21,185,r,2
25,183,r,
23,193,r,2
26,188,r,2
33,193,r,2
25,185,r,2
27,178,r,2
23,183,r,
33,180,r,2
31,185,r,2
30,180,l,2
23,175,l,
33,188,r,2
27,185,r,2
35,178,r,2
28,201,r,1
24,180,r,
30,183,l,2
27,185,r,
26,183,r,1
24,180,r,2
37,183,r,2
,188,r,
29,188,r,2
23,180,r,2
24,185,r,2
31,193,r,2
23,175,r,2
29,180,r,2
,191,r,
19,180,l,
21,188,r,
31,180,r,2
30,193,r,
28,191,r,2
32,183,r,2
,178,r,
38,183,r,1
27,178,r,2
29,178,r,2
28,193,r,2
23,,r,
22,198,r,
23,191,r,
27,193,r,
28,191,r,
19,180,r,
23,183,l,2
26,193,r,
23,180,l,
24,188,r,2
35,178,r,2
35,183,l,2
18,185,r,
32,183,r,2
31,188,r,2
34,188,r,2
27,185,r,2
27,175,r,2
19,191,r,
28,185,r,2
38,185,l,2
27,191,r,2
29,196,r,2
23,183,r,
32,183,l,2
,193,l,
28,196,l,2
,183,r,
40,183,r,1
31,183,r,2
35,175,r,2
34,175,r,1
37,188,l,2
22,175,r,2
30,196,r,2
24,183,r,
24,183,r,
,191,r,
21,180,r,
23,191,r,2
28,196,r,2
28,183,r,
25,191,l,2
29,191,l,2
24,196,r,
27,183,l,2
36,198,r,2
21,180,r,
28,191,r,2
23,191,r,2
27,193,r,
29,188,l,2
25,180,r,2
20,178,r,
28,191,r,2
32,180,r,2
23,,,
27,180,r,2
24,175,r,2
25,163,l,2
,,,
22,185,r,
27,183,r,2
33,188,r,2
23,,,
27,185,r,2
24,185,r,2
26,188,r,
30,193,r,2
21,191,r,
20,191,r,
33,183,l,2
26,180,r,2
30,183,r,2
33,185,r,
33,185,r,2
29,185,r,2
26,183,r,
25,188,r,2
23,185,r,2
32,193,r,2
23,180,r,
32,183,r,2
26,188,r,
23,180,r,2
30,183,r,
25,183,r,2
31,,r,1
33,185,r,2
26,175,r,
26,180,r,2
26,180,l,2
22,178,r,2
,183,r,
28,188,l,2
23,183,r,
21,191,r,
30,188,r,2
24,,,
24,,,
,,,
21,185,r,
21,175,r,2
26,188,r,2
23,183,l,2
34,196,r,2
26,178,r,2
21,173,r,
26,180,r,
22,,,
24,198,r,
27,201,r,2
30,185,l,2
31,188,r,2
23,,r,
25,,,
25,180,r,2
,180,l,
25,,,
20,191,r,
19,,r,
30,183,r,2
35,,r,
21,188,r,
29,,r,
29,198,r,2
31,,r,
28,185,r,2
26,183,r,2
33,,r,2
,,,
26,188,r,2
23,178,r,2
19,188,r,
32,180,r,2
24,188,r,2
22,175,r,
21,183,r,
21,,,
28,183,r,2
22,185,l,
29,193,r,1
,,,
26,178,r,
28,178,r,2
25,191,r,2
26,180,r,2
,,,
,191,r,2
26,175,r,
27,,,
22,188,r,
26,180,r,2
30,185,r,2
31,185,r,2
20,185,r,
34,183,r,2
23,,,
35,191,l,2
19,188,r,
27,211,r,2
21,,r,
,185,r,
26,,,
20,,r,
30,178,r,2
22,183,l,2
23,198,r,
24,183,r,2
29,,,
36,175,l,2
27,185,l,2
28,196,r,2
24,,r,
23,188,r,
30,178,l,2
28,191,l,2
,185,r,
32,198,r,2
24,,,
27,,r,
34,175,r,2
26,175,r,2
23,180,r,2
27,188,r,2
,,,
26,191,,
32,178,r,2
27,188,r,2
33,180,r,2
22,183,r,2
24,,r,
24,,r,
52,203,l,2
29,185,r,2
31,191,r,2
25,,r,
19,188,l,
32,196,r,2
26,,,
26,183,r,1
31,180,r,2
,,r,
31,183,r,2
22,,l,
26,,r,2
33,,r,
22,,r,
31,198,l,2
38,,,
23,,,
26,,,
24,170,r,2
20,,r,
24,,,
27,180,r,2
31,,r,
26,185,r,2
31,183,r,2
26,,,
25,185,r,2
27,183,r,2
31,,r,1
23,188,r,2
30,188,r,2
28,,r,2
28,185,r,
27,183,r,
30,180,r,2
25,,,
20,193,r,
25,185,r,
22,,,
25,185,l,
28,185,r,2
19,188,l,
25,183,r,2
32,170,r,2
,,,
28,,r,2
26,193,l,2
27,180,r,2
32,185,r,1
22,,r,
25,,r,2
25,191,r,
24,,,
20,188,r,
20,,r,
20,,r,
30,191,r,2
30,198,r,
20,,r,
24,,l,
27,188,r,2
21,,r,
23,,,
25,,,
31,188,r,2
28,,r,
21,185,r,
31,193,r,2
30,188,r,2
17,,,
28,,,
34,,r,2
31,178,r,2
24,,l,
25,,r,
25,191,r,
,,r,
24,,r,2
24,,,
25,180,,
21,,r,
25,183,r,2
21,193,r,
28,185,r,2
30,,r,2
26,180,r,2
18,,r,
31,178,r,2
35,196,r,2
24,191,r,
50,,r,
28,185,r,2
25,,,
,,,
27,185,l,
22,,r,
30,,r,
20,193,r,
25,,,
30,191,r,2
35,183,r,2
29,180,l,2
25,,,
25,,r,
34,193,r,2
27,,,
27,,,
,,,
24,,r,
22,,,
21,,r,
24,,r,
,,r,
27,,,
30,188,r,2
28,183,r,2
20,,r,
23,191,r,
28,185,r,2
32,183,r,2
27,196,r,2
21,,r,
,,,
26,,,
33,,r,
27,183,r,2
27,180,r,2
29,,,
26,,,
26,,,
22,,,
23,173,l,
34,180,r,2
23,,r,2
29,,,
,,,
31,188,r,2
22,,r,
31,,,
24,,,
25,,,
,,,
24,,,
21,,l,
22,,r,
27,178,l,2
21,,r,
27,,,
28,,r,2
,,,
31,,r,
24,178,r,1
26,184,r,2
26,178,r,2
25,,,
22,,r,
,175,r,
31,180,r,1
30,,,
26,188,r,
33,,,
24,,,
20,196,r,
27,166,r,
28,185,r,
27,180,l,
26,,,
29,,r,
25,,,
25,,,
23,,,
24,,r,
25,,r,
20,180,r,
22,,,
32,178,r,
27,,r,
27,,,
23,,r,
33,188,r,2
34,,r,
26,,r,
23,,r,
27,,r,
19,193,l,
26,,,
,191,r,
23,,,
20,,r,
31,,r,
25,,r,
18,188,r,
26,,l,
25,188,l,2
19,,l,
18,,r,
24,178,l,2
31,185,r,1
21,173,r,
27,,,
29,,r,
34,185,r,2
22,,r,
27,170,r,2
,,r,
21,,r,
24,,r,
23,,,
31,178,r,2
24,,,
24,,,
22,,r,
37,185,r,2
30,,r,
20,,l,
19,187,r,
25,185,r,2
21,71,r,
25,,,
31,183,l,2
21,183,r,
26,,,
27,,l,
32,,r,
23,,,
27,,,
22,,,
32,,l,
28,,r,
28,,,
,,,
,,,
28,,,
30,170,r,2
25,,r,
33,188,r,2
24,,,
20,,r,
28,,,
,191,r,
,,,
,183,r,
29,185,r,
23,,r,
26,,,
19,,r,
24,,,
21,,r,
24,180,r,
22,,r,
22,,,
22,,r,
23,188,r,
28,,,
32,,l,
28,,,
23,,l,
28,,r,
31,180,r,2
27,188,r,2
23,183,r,
31,188,r,2
28,191,r,2
17,,l,
19,,r,
20,,r,
24,,,
,188,r,
33,,r,2
,,,
19,,r,
23,191,r,2
26,,,
,,r,
25,,r,
24,,,
24,,,
28,185,r,
26,193,r,2
,,,
21,,,
29,188,r,
19,,r,
34,175,r,
21,,l,
24,,,
26,,r,
25,,r,
26,,l,
22,,,
,,,
33,180,r,1
26,,l,
20,185,r,
28,175,r,
26,198,r,2
29,,r,
26,,r,
27,,r,
24,,,
25,,r,
27,,,
24,,,
21,,r,
19,,,
26,183,r,2
20,,r,
,,,
37,203,l,1
19,,r,
27,,,
31,178,r,2
21,,,
33,185,r,2
32,,r,
23,,,
20,,r,
,,,
34,185,l,2
19,,r,
24,,,
28,173,r,2
20,196,r,
21,,,
26,,,
18,,r,
,,r,
24,,,
26,,r,
25,,,
33,178,r,2
34,188,l,2
21,,r,
26,,,
25,,,
19,,r,
25,,r,
22,,r,
,,,
30,,,
20,188,r,
26,,,
24,,,
26,185,r,
30,193,r,2
23,,,
,,,
25,,,
25,,r,
26,185,r,2
24,,r,
25,,,
30,,,
20,,r,
,,,
28,196,l,1
24,,r,
25,,r,
22,,l,
23,,,
24,,,
30,188,r,2
29,,r,
22,,,
,,,
30,191,l,
19,,,
25,,,
25,,r,
24,,,
,,,
28,,,
27,,r,2
23,183,r,
,,,
20,,r,
20,,r,
,,,
23,,,
27,,,
25,,,
,,r,
34,191,r,1
19,183,r,
24,,,
21,,l,
19,,,
24,,r,
20,,r,
27,,,
26,175,r,2
24,,,
29,185,r,2
27,,,
20,,,
23,185,r,
24,188,r,
27,,,
27,193,r,
36,185,r,2
31,,r,2
24,,,
,,r,
26,,l,
24,,,
19,,,
34,193,r,2
21,,r,
,,,
29,,,
31,193,r,
,196,r,
21,,,
23,,r,
26,,r,
33,,r,
25,,,
22,,,
27,,r,
20,,r,
23,,r,
23,,,
26,,,
,,,
26,,r,
23,,r,
22,,r,
26,,,
26,,,
24,,r,
20,185,r,
26,,r,
21,,r,
27,185,r,1
27,,,
36,185,r,2
32,185,r,2
22,,,
25,,,
25,,r,
22,,r,
24,,,
25,,,
26,,r,
19,,r,
27,,,
,,,
19,,r,
20,,,
28,,r,
28,,,
25,,l,
26,175,r,
25,,r,
26,173,r,2
19,,r,
22,,,
22,,,
,,,
18,,r,
34,193,l,2
32,,r,1
24,,,
30,188,r,1
24,,r,
28,,r,
23,,,
20,,r,
27,,,
25,,r,
25,,,
35,180,r,2
33,183,r,2
26,,,
30,180,r,1
19,180,r,
19,,r,
17,185,l,
20,,,
28,,,
24,,,
19,,r,
22,,,
29,188,r,
24,,r,
24,,,
22,,r,
26,,,
20,,,
26,,r,
24,,,
29,,r,
24,,,
23,,,
,,,
,,,
27,178,r,2
24,,r,
,,r,
28,,,
23,,,
20,,r,
18,,r,
20,,l,
21,,,
18,,l,
26,,,
21,,l,
24,,,
26,,,
28,,l,
19,,r,
26,,,
21,,r,
19,,r,
29,193,r,2
31,180,r,2
19,,,
22,,,
23,,,
19,,,
27,,,
22,,,
29,,r,
20,,,
21,,r,
20,,r,
29,188,r,2
30,188,r,
19,,r,
25,,,
32,,,
27,,,
30,191,r,2
25,,,
25,,r,
19,,r,
21,,l,
25,,r,
24,,,
17,,l,
25,,,
34,175,r,2
,,,
25,,,
19,,r,
26,,l,
27,,,
29,,r,2
20,,r,
23,,,
22,,r,
28,,,
17,,,
28,,r,2
24,,,
23,,r,
26,,,
24,,r,
23,,,
32,,r,
26,185,r,
23,,,
26,,,
31,,r,
21,,,
27,,,
21,,,
29,191,r,
18,,,
29,,,
25,,,
18,,,
24,,,
24,,r,
25,,,
19,,r,
,,,
28,,r,
30,193,r,2
28,,,
18,,l,
19,,,
24,,,
19,,,
24,,,
24,,,
,,r,
22,,r,
38,185,r,2
19,,r,
23,,l,
24,,,
27,,l,
23,,,
21,,,
21,,r,
23,,,
23,,r,
20,191,r,
24,,,
27,,r,
25,,r,
18,,r,
20,,r,
21,,r,
25,,,
21,,,
23,,,
33,,,
,,,
21,,r,
,,,
27,,,
25,,r,
23,,r,
26,,r,
28,,,
20,,l,
21,,,
22,,,
21,,,
26,193,r,
,,,
26,,r,
24,,r,
37,180,r,
25,,,
24,,r,
,,,
22,,,
22,,l,
26,,,
24,,,
26,,,
21,,,
25,,r,
,,,
25,,,
20,,,
21,,,
26,,,
34,170,r,2
27,,r,
22,,,
19,,,
18,,r,
26,,,
20,,r,
21,,r,
24,,,
27,,,
25,,,
24,,,
26,175,r,
19,,r,
28,,,
25,,,
28,,,
26,,l,
,,,
26,,l,
,,,
26,,,
,,,
19,,r,
37,191,r,2
19,,r,
27,,,
20,,r,
24,,r,
29,,,
25,,r,
28,,r,
